"startNodeId","endNodeId","relationshipType","allProperties"
"188","10188","OWNS","{}"
"189","10189","OWNS","{}"
"153","10190","OWNS","{}"
"191","10191","OWNS","{}"
"192","10192","OWNS","{}"
"193","10193","OWNS","{}"
"194","10194","OWNS","{}"
"195","10195","OWNS","{}"
"196","10196","OWNS","{}"
"197","10197","OWNS","{}"
"198","10198","OWNS","{}"
"199","10199","OWNS","{}"
"200","10200","OWNS","{}"
"201","10201","OWNS","{}"
"202","10202","OWNS","{}"
"203","10203","OWNS","{}"
"205","10205","OWNS","{}"
"206","10206","OWNS","{}"
"207","10207","OWNS","{}"
"208","10208","OWNS","{}"
"209","10209","OWNS","{}"
"210","10210","OWNS","{}"
"211","10211","OWNS","{}"
"212","10212","OWNS","{}"
"4330","10213","OWNS","{}"
"214","10214","OWNS","{}"
"215","10215","OWNS","{}"
"216","10216","OWNS","{}"
"217","10217","OWNS","{}"
"218","10218","OWNS","{}"
"219","10219","OWNS","{}"
"220","10220","OWNS","{}"
"221","10221","OWNS","{}"
"5460","10222","OWNS","{}"
"223","10223","OWNS","{}"
"224","10224","OWNS","{}"
"225","10225","OWNS","{}"
"226","10226","OWNS","{}"
"227","10227","OWNS","{}"
"228","10228","OWNS","{}"
"230","10230","OWNS","{}"
"231","10231","OWNS","{}"
"232","10232","OWNS","{}"
"233","10233","OWNS","{}"
"234","10234","OWNS","{}"
"235","10235","OWNS","{}"
"236","10236","OWNS","{}"
"237","10237","OWNS","{}"
"238","10238","OWNS","{}"
"239","10239","OWNS","{}"
"240","10240","OWNS","{}"
"241","10241","OWNS","{}"
"242","10242","OWNS","{}"
"163","10244","OWNS","{}"
"246","10246","OWNS","{}"
"247","10247","OWNS","{}"
"248","10248","OWNS","{}"
"239","10249","OWNS","{}"
"250","10250","OWNS","{}"
"252","10252","OWNS","{}"
"253","10253","OWNS","{}"
"254","10254","OWNS","{}"
"255","10255","OWNS","{}"
"256","10256","OWNS","{}"
"8080","10257","OWNS","{}"
"258","10258","OWNS","{}"
"259","10259","OWNS","{}"
"261","10261","OWNS","{}"
"68","10262","OWNS","{}"
"263","10263","OWNS","{}"
"264","10264","OWNS","{}"
"3239","10265","OWNS","{}"
"109","10266","OWNS","{}"
"20","10267","OWNS","{}"
"268","10268","OWNS","{}"
"269","10269","OWNS","{}"
"271","10271","OWNS","{}"
"167","10272","OWNS","{}"
"273","10273","OWNS","{}"
"274","10274","OWNS","{}"
"178","10275","OWNS","{}"
"276","10276","OWNS","{}"
"277","10277","OWNS","{}"
"278","10278","OWNS","{}"
"7","10279","OWNS","{}"
"281","10281","OWNS","{}"
"282","10282","OWNS","{}"
"283","10283","OWNS","{}"
"284","10284","OWNS","{}"
"285","10285","OWNS","{}"
"286","10286","OWNS","{}"
"4408","10288","OWNS","{}"
"289","10289","OWNS","{}"
"2643","10290","OWNS","{}"
"291","10291","OWNS","{}"
"292","10292","OWNS","{}"
"293","10293","OWNS","{}"
